precinct_id,county,precinct_name,precinct_number,ward,polling_location_ids,source,INTERNAL_notes
330270013,CANYON,09-10,09-10,,440270047,Idaho Elections Division,
330270014,CANYON,12,12,,440270048,Idaho Elections Division,
330270015,CANYON,34-11,34-11,,440270049,Idaho Elections Division,
330270016,CANYON,55,55,,440270050,Idaho Elections Division,
330270017,CANYON,17-10,17-10,,440270007,Idaho Elections Division,
330270018,CANYON,39-11,39-11,,440270008,Idaho Elections Division,
330270019,CANYON,03-09,03-09,,440270051,Idaho Elections Division,
330270020,CANYON,56,56,,440270052,Idaho Elections Division,
330270021,CANYON,13,13,,440270053,Idaho Elections Division,
330270022,CANYON,15-10,15-10,,440270009,Idaho Elections Division,
330270023,CANYON,5,5,,440270010,Idaho Elections Division,
330270024,CANYON,11-10,11-10,,440270054,Idaho Elections Division,
330270025,CANYON,10,10,,440270011,Idaho Elections Division,
330270026,CANYON,10-10,10-10,,440270011,Idaho Elections Division,
330270027,CANYON,9,9,,440270055,Idaho Elections Division,
330270028,CANYON,12-10,12-10,,440270012,Idaho Elections Division,
330270029,CANYON,27,27,,440270056,Idaho Elections Division,
330270030,CANYON,32-11,32-11,,440270013,Idaho Elections Division,
330270031,CANYON,54,54,,440270057,Idaho Elections Division,
330270032,CANYON,23,23,,440270014,Idaho Elections Division,
330270033,CANYON,31-11,31-11,,440270058,Idaho Elections Division,
330270034,CANYON,21,21,,440270015,Idaho Elections Division,
330270035,CANYON,35-11,35-11,,440270015,Idaho Elections Division,
330270036,CANYON,26-11,26-11,,440270016,Idaho Elections Division,
330270037,CANYON,28,28,,440270059,Idaho Elections Division,
330270038,CANYON,42-11,42-11,,440270017,Idaho Elections Division,
330270039,CANYON,29,29,,440270060,Idaho Elections Division,
330270040,CANYON,41-11,41-11,,440270018,Idaho Elections Division,
330270041,CANYON,18,18,,440270061,Idaho Elections Division,
330270042,CANYON,40-11,40-11,,440270019,Idaho Elections Division,
330270043,CANYON,39,39,,440270062,Idaho Elections Division,
330270044,CANYON,79-13,79-13,,440270020,Idaho Elections Division,
330270045,CANYON,52-12,52-12,,440270021,Idaho Elections Division,
330270046,CANYON,76-13,76-13,,440270063,Idaho Elections Division,
330270047,CANYON,49,49,,440270064,Idaho Elections Division,
330270048,CANYON,60-12,60-12,,440270022,Idaho Elections Division,
330270049,CANYON,62-12,62-12,,440270022,Idaho Elections Division,
330270050,CANYON,71-13,71-13,,440270022,Idaho Elections Division,
330270051,CANYON,30,30,,440270065,Idaho Elections Division,
330270052,CANYON,54-12,54-12,,440270066,Idaho Elections Division,
330270053,CANYON,46,46,,440270023,Idaho Elections Division,
330270054,CANYON,59-12,59-12,,440270066,Idaho Elections Division,
330270055,CANYON,45,45,,440270024,Idaho Elections Division,
330270056,CANYON,49-12,49-12,,440270024,Idaho Elections Division,
330270057,CANYON,43-11,43-11,,440270067,Idaho Elections Division,
330270058,CANYON,53-12,53-12,,440270025,Idaho Elections Division,
330270059,CANYON,58-12,58-12,,440270025,Idaho Elections Division,
